"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"351" 45.1020408163267 8.61678004535133 90.2040816326532 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 143.922902494331 18.2426303854877 "vestuario"
"352" 40.0907029478458 8.52607709750578 95.2154195011337 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 143.832199546485 15.7823129251699 "vestuario"
"353" 54.6258503401361 43.877551020408 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 173.673469387755 5.37414965986409 "hasta"
"354" 79.7505668934241 18.7301587301588 90.204081632653 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 188.684807256236 30.5102040816328 "hasta"
"355" 65.1473922902494 47.8231292517007 80.1814058956917 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 193.151927437642 8.66213151927445 "hasta"
"356" 85.1927437641723 18.3673469387754 80.1814058956916 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 183.741496598639 33.4126984126985 "bestial"
"357" 45.1020408163266 13.6961451247166 85.1927437641723 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 143.990929705216 15.7029478458048 "bestial"
"358" 0 23.7414965986395 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 98.9115646258504 -11.8707482993195 "bestial"
"359" 45.1020408163267 13.1972789115648 85.1927437641721 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 143.492063492064 15.952380952381 "bestiando"
"360" 85.1927437641725 23.3786848072561 70.1587301587299 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 178.730158730159 30.9070294784583 "bestiando"
"361" 55.124716553288 18.4126984126983 85.1927437641725 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 158.730158730159 18.3560090702949 "destiempo"
"362" 20.0453514739229 23.4693877551022 95.2154195011337 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 138.730158730159 -1.71201814058941 "destiempo"
