labels,dur_v,dur_c,dur_utterance,dur_v_norm,dur_c_norm,dur_v_norm_word,dur_c_norm_word,dur_following_sound,dur_word,vc_ratio,variety,speaker,target_word,rate,target_sound,preceding_vowel,following_sound,second_next_sound,bundle_name,target_sound_start,target_sound_end,manner_of_articulation,place_of_articulation,vowel_quality,word_group,vowel_height,dur_aspiration,dur_c_aspiration,category,non_word,age,F1,F2,release_type,legal,speaker_group,standard_dialect_continuum,consonant_strength,vowel_length
Widder,50.249433106576134,47.57369614512447,1217.7097505668933,0.04126552578164294,0.03906817377702444,0.192628650904034,0.18237134909596567,95.53287981859421,260.8616780045352,0.5136764024107578,SD,SD_0003,Widder,normal,d,I,6,S,SD_0003_Widder_normal_05,1016.9274376417235,1064.501133786848,stop,alveolar,i-like,BIDer,high,0,47.57369614512447,VC,FALSE,Y,451,1938,oral,legal,Y_SD,3,Lenis,Short
Pudding,26.802721088435305,47.89115646258506,1089.092970521542,0.024610131378958483,0.04397343271773306,0.072302422314656,0.1291901149987766,22.040816326530603,370.70294784580517,0.358834244080145,SD,SD_0004,Pudding,normal,d,U,_h,I,SD_0004_Pudding_normal_01,1011.1904761904761,1059.0816326530612,stop,alveolar,u-like,BUD-,high,22.040816326530603,69.93197278911566,VC,FALSE,Y,396,1311,oral,legal,Y_SD,3,Lenis,Short
Pudding,38.480725623582885,17.165532879818556,1171.2925170068029,0.03285321562705705,0.014655205792387776,0.10725571988370655,0.04784477310074568,74.24036281179133,358.7755102040817,0.6915240423797893,SD,SD_0004,Pudding,normal,d,U,I,N,SD_0004_Pudding_normal_02,1140.6462585034014,1157.81179138322,stop,alveolar,u-like,BUD-,high,0,17.165532879818556,VC,FALSE,Y,448,1269,oral,legal,Y_SD,3,Lenis,Short
Pudding,26.757369614512413,44.4671201814059,1079.6825396825395,0.024782626958457545,0.041185365648758784,0.07225079598334541,0.12007102620622093,23.514739229025054,370.3401360544218,0.3756765361349883,SD,SD_0004,Pudding,normal,d,U,_h,I,SD_0004_Pudding_normal_03,929.1043083900227,973.5714285714286,stop,alveolar,u-like,BUD-,high,23.514739229025054,67.98185941043096,VC,FALSE,Y,434,1311,oral,legal,Y_SD,3,Lenis,Short
Pudding,40.4308390022677,30.77097505668928,1070.2267573696145,0.03777782486174981,0.02875182744665969,0.12390548992355845,0.09430159833217495,30.408163265306143,326.3038548752834,0.5678343949044599,SD,SD_0004,Pudding,normal,d,U,_h,I,SD_0004_Pudding_normal_04,955.7256235827665,986.4965986394558,stop,alveolar,u-like,BUD-,high,30.408163265306143,61.179138321995424,VC,FALSE,Y,498,1323,oral,legal,Y_SD,3,Lenis,Short
Pudding,21.179138321995538,47.3469387755099,1195.5555555555557,0.017714892648509277,0.03960245808360493,0.05472870033985722,0.12234852923942262,24.10430839002288,386.984126984127,0.30906684315023375,SD,SD_0004,Pudding,normal,d,U,_h,I,SD_0004_Pudding_normal_05,1033.2539682539684,1080.6009070294783,stop,alveolar,u-like,BUD-,high,24.10430839002288,71.45124716553278,VC,FALSE,Y,434,1311,oral,legal,Y_SD,3,Lenis,Short
Rabbi,83.5374149659865,54.08163265306098,1003.7188208616778,0.08322790529549985,0.0538812579071026,0.27307093617967565,0.17678452301534275,15.351473922902642,305.9183673469388,0.6070192782995565,SD,SD_0004,Rabbi,normal,b,a,_h,i,SD_0004_Rabbi_normal_01,991.6893424036282,1045.7709750566892,stop,labial,a-like,rABe,low,15.351473922902642,69.43310657596362,VC,FALSE,Y,737,1257,oral,legal,Y_SD,3,Lenis,Short
Rabbi,108.73015873015879,42.925170068027,1026.575963718821,0.10591535606997708,0.04181392472168207,0.3378425984640317,0.13337560769393297,34.78458049886626,321.8367346938776,0.7169557416267953,SD,SD_0004,Rabbi,normal,b,a,_h,i,SD_0004_Rabbi_normal_02,1045.5895691609978,1088.5147392290248,stop,labial,a-like,rABe,low,34.78458049886626,77.70975056689326,VC,FALSE,Y,718,1371,oral,legal,Y_SD,3,Lenis,Short
Rabbi,70.74829931972795,47.68707482993193,1019.6145124716554,0.06938730123429339,0.04676970977426883,0.24952015355086393,0.16818618042226474,84.71655328798192,283.5374149659864,0.5973578403216546,SD,SD_0004,Rabbi,normal,b,a,i,v,SD_0004_Rabbi_normal_03,935.5215419501134,983.2086167800453,stop,labial,a-like,rABe,low,0,47.68707482993193,VC,FALSE,Y,692,1296,oral,legal,Y_SD,3,Lenis,Short
Rabbi,82.3809523809523,41.541950113378675,1006.8253968253969,0.08182248147564235,0.041260331974505064,0.31848864732181953,0.1606031384237748,16.281179138322045,258.66213151927445,0.6647758462946018,SD,SD_0004,Rabbi,normal,b,a,_h,i,SD_0004_Rabbi_normal_04,905.6802721088435,947.2222222222222,stop,labial,a-like,rABe,low,16.281179138322045,57.82312925170072,VC,FALSE,Y,654,1185,oral,legal,Y_SD,3,Lenis,Short
Rabbi,115.60090702947855,63.854875283446745,1225.578231292517,0.09432356423919486,0.05210183540556545,0.3303525142560917,0.1824779678589945,17.0521541950111,349.93197278911543,0.6441748799595653,SD,SD_0004,Rabbi,normal,b,a,_h,i,SD_0004_Rabbi_normal_05,1045.6575963718822,1109.512471655329,stop,labial,a-like,rABe,low,17.0521541950111,80.90702947845784,VC,FALSE,Y,698,1306,oral,legal,Y_SD,3,Lenis,Short
